status	dataset_id	zip_path	size_bytes	seconds	blosc_arrays	blosc_chunks	message
converted	01c93cf6-b695-4e30-a26e-121ae8b16a9e	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/01c93cf6-b695-4e30-a26e-121ae8b16a9e/full.zarr.zip	57866853	2.162699304521084	6	46	ok
converted	024581e3-5375-4e33-8060-d8448694f556	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/024581e3-5375-4e33-8060-d8448694f556/full.zarr.zip	110674149	2.512313663959503	6	82	ok
converted	03d38670-1444-4001-bc53-9936e61d9b20	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/03d38670-1444-4001-bc53-9936e61d9b20/full.zarr.zip	127189044	0.9893135540187359	3	141	ok
converted	01ff5cf0-730f-4ddc-b1be-7b407211f544	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/01ff5cf0-730f-4ddc-b1be-7b407211f544/full.zarr.zip	529811902	5.292774122208357	3	543	ok
converted	06ef6b36-6c9b-4e10-8a94-d0baf274276e	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/06ef6b36-6c9b-4e10-8a94-d0baf274276e/full.zarr.zip	103230442	0.8888731487095356	6	70	ok
converted	07760522-707a-4a1c-8891-dbd1226d6b27	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/07760522-707a-4a1c-8891-dbd1226d6b27/full.zarr.zip	188003776	1.2829088121652603	3	207	ok
converted	01b84709-139c-4485-98a9-6e14c58fbbf6	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/01b84709-139c-4485-98a9-6e14c58fbbf6/full.zarr.zip	753757292	7.55847854167223	6	530	ok
converted	077b0429-0f47-48e0-879a-39eaae531d42	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/077b0429-0f47-48e0-879a-39eaae531d42/full.zarr.zip	96477378	0.7313153520226479	3	99	ok
converted	07b1d7c8-5c2e-42f7-9246-26f746cd6013	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/07b1d7c8-5c2e-42f7-9246-26f746cd6013/full.zarr.zip	153405775	1.1851681992411613	3	169	ok
converted	07dd8c34-4625-480a-8ee4-273a06c3082b	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/07dd8c34-4625-480a-8ee4-273a06c3082b/full.zarr.zip	93265399	0.7783216461539268	3	89	ok
converted	02792605-4760-4023-82ad-40fc4458a5db	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/02792605-4760-4023-82ad-40fc4458a5db/full.zarr.zip	1298237313	9.059259857982397	6	730	ok
converted	019c7af2-c827-4454-9970-44d5e39ce068	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/019c7af2-c827-4454-9970-44d5e39ce068/full.zarr.zip	1396603925	9.160694267600775	12	786	ok
converted	090da8ea-46e8-40df-bffc-1f78e1538d27	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/090da8ea-46e8-40df-bffc-1f78e1538d27/full.zarr.zip	117001983	0.8627391792833805	3	129	ok
converted	095940cb-7422-4510-96e2-cbafd961eb88	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/095940cb-7422-4510-96e2-cbafd961eb88/full.zarr.zip	249354464	1.721022941172123	3	271	ok
converted	030faa69-ff79-4d85-8630-7c874a114c19	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/030faa69-ff79-4d85-8630-7c874a114c19/full.zarr.zip	1250984728	9.711305789649487	6	898	ok
converted	09b518f9-da64-44cc-aec8-70a89d55611f	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/09b518f9-da64-44cc-aec8-70a89d55611f/full.zarr.zip	335231203	2.6238077357411385	6	250	ok
converted	0920bcb8-4b3a-4e9d-a353-56f529fd3b32	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/0920bcb8-4b3a-4e9d-a353-56f529fd3b32/full.zarr.zip	597018290	4.64147512242198	6	422	ok
converted	0436a180-cb44-47ba-8ffa-807b7a468469	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/0436a180-cb44-47ba-8ffa-807b7a468469/full.zarr.zip	1849386207	10.62099114432931	6	1008	ok
converted	0b4a15a7-4e9e-4555-9733-2423e5c66469	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/0b4a15a7-4e9e-4555-9733-2423e5c66469/full.zarr.zip	594643810	2.3402157202363014	6	286	ok
converted	0ae6f031-2f9c-4247-8b26-db320d6efd32	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/0ae6f031-2f9c-4247-8b26-db320d6efd32/full.zarr.zip	781548076	3.8342358097434044	6	470	ok
converted	0a2d7e87-c3c0-4ed2-86df-ae18811fcc16	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/0a2d7e87-c3c0-4ed2-86df-ae18811fcc16/full.zarr.zip	813227527	6.063375785946846	6	522	ok
converted	0bae7ebf-eb54-46a6-be9a-3461cecefa4c	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/0bae7ebf-eb54-46a6-be9a-3461cecefa4c/full.zarr.zip	414780488	2.212630018591881	6	252	ok
